RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2363,65079923,Fuller,551,France,Male,35,1,0.0,1,1,0,91505.34,0
2364,77353073,Ball,653,Spain,Female,19,1,93468.99,1,0,1,163671.02,1
2365,92071195,Zuniga,495,Germany,Female,48,2,65537.43,1,1,1,131080.18,1
2366,73297813,Shaffer,644,Germany,Female,76,7,155654.58,2,1,0,107064.68,1
2367,18359252,Hanson,687,France,Female,68,9,46100.75,1,1,0,66292.34,0
2368,28533117,Gonzalez,757,France,Male,25,2,68830.34,1,0,0,235143.86,0
2369,79616482,Jones,570,France,Male,31,10,0.0,2,1,1,185059.7,0
2370,37828932,Hernandez,598,Germany,Male,58,2,0.0,2,0,0,40529.04,0
2371,85280948,Hobbs,587,France,Female,42,3,0.0,2,1,0,131919.62,0
2372,53627409,Meyer,625,France,Male,42,1,105283.61,1,0,1,168596.63,0
2373,98882576,Wright,556,France,Male,50,0,192104.54,4,1,1,125828.27,0
2374,74205866,Garcia,440,France,Male,74,6,9843.41,4,0,0,97257.08,0
2375,80528349,Johnson,548,France,Male,61,4,0.0,1,1,1,62688.49,0
2376,60576565,Wagner,645,France,Male,81,1,40374.46,2,0,1,124675.17,1
2377,52111160,Myers,635,Spain,Male,25,6,0.0,2,1,1,46111.51,0
2378,33244151,Howe,703,Germany,Female,52,3,136039.83,3,0,1,76170.78,0
2379,71694994,Evans,731,France,Female,59,4,28578.12,3,1,1,68005.01,0
2380,81555103,Webb,606,Germany,Male,74,9,17618.24,1,0,0,127006.57,0
2381,55946354,White,496,Spain,Female,56,4,5322.11,1,1,0,175475.19,0
2382,83319550,Young,689,France,Male,86,4,17579.72,3,1,0,70392.77,1
2383,57551594,Abbott,649,France,Female,80,7,0.0,1,1,1,75937.47,0
2384,96343485,Green,624,France,Male,69,9,58134.21,2,1,0,171484.67,1
2385,45482091,Salazar,768,France,Female,47,8,41197.88,1,1,1,67349.53,0
2386,91883092,Gonzales,693,Spain,Male,42,5,10930.16,1,0,1,62971.48,1
2387,74985553,Barrett,661,Spain,Male,58,3,65838.49,1,1,0,203561.76,0
2388,35805259,Martinez,665,France,Female,52,1,181279.94,1,1,0,155192.38,1
2389,43087238,Thomas,732,Germany,Female,20,1,22793.93,1,1,1,143679.0,0
2390,47447604,Smith,583,France,Female,35,8,0.0,2,1,0,119176.05,0
2391,84905122,Thomas,564,Germany,Male,80,8,179396.88,2,1,0,93285.41,1
2392,50063879,Garner,627,Spain,Male,52,3,0.0,2,1,0,8623.9,1
2393,40181142,Allen,535,France,Female,89,10,0.0,2,0,1,85446.94,1
2394,49945150,Hunt,645,France,Male,36,10,0.0,1,1,1,84131.82,0
2395,48789478,Lyons,659,Germany,Male,90,6,115239.72,2,1,0,90241.86,1
2396,37820354,Gonzalez,643,Spain,Male,78,2,144863.06,1,1,1,130568.52,0
2397,75632882,Castillo,614,France,Male,44,5,0.0,1,0,0,183685.05,0
2398,52552488,Roberts,810,France,Male,63,9,10260.46,1,0,0,93353.3,0
2399,74398125,Garcia,741,France,Male,92,5,0.0,4,0,1,85932.9,1
2400,56815569,Chapman,640,Germany,Female,65,5,0.0,1,1,1,183433.02,0
2401,85227370,Richardson,659,Germany,Female,87,5,54894.28,1,1,1,52407.79,0
2402,46702849,Hill,783,Spain,Female,26,9,77400.01,1,1,1,95861.48,0
2403,48626436,Cruz,593,Spain,Female,30,4,82943.97,1,0,1,99270.15,0
2404,26357665,Marsh,556,Spain,Male,18,2,15079.65,1,1,1,52450.49,0
2405,86970753,Marshall,672,Spain,Female,42,5,23407.22,1,0,0,78233.33,0
2406,82905845,Li,690,France,Female,77,6,94880.36,1,1,1,78945.83,0
2407,60961690,Hernandez,697,Germany,Male,90,10,0.0,1,1,1,141871.75,0
2408,62953249,Campbell,730,France,Male,58,1,77036.44,2,1,1,81130.64,0
2409,56323191,Wilson,578,France,Female,49,10,77643.96,3,1,0,82714.48,0
2410,29659692,Price,513,Spain,Female,87,8,68794.8,4,0,1,124644.02,1
2411,48983895,Carpenter,593,Germany,Female,62,7,0.0,1,1,0,69930.46,0
2412,15646068,Johnson,706,Spain,Female,58,2,102965.36,1,1,0,45890.24,1
2413,48605090,Santos,560,France,Female,24,2,96368.07,4,1,1,248933.44,0
2414,20607151,Sandoval,462,Germany,Female,34,4,0.0,2,1,0,94655.8,0
2415,56488123,Wallace,663,France,Female,70,2,0.0,1,1,0,110656.24,1
2416,69374716,Odonnell,594,France,Female,70,7,37346.8,1,1,0,82467.68,0
2417,98043078,Kelly,482,France,Female,55,8,116491.52,3,0,0,12074.53,1
2418,44419327,Taylor,657,Germany,Male,70,5,73323.46,3,1,0,68308.03,0
2419,74300930,Khan,612,France,Female,69,7,100440.36,1,0,0,34211.55,1
2420,38720823,Ellis,812,Spain,Male,22,8,86913.26,1,1,0,128830.32,0
2421,37121108,Smith,658,France,Male,80,10,0.0,2,1,1,121516.66,0
2422,82286705,Moore,706,France,Male,70,7,0.0,1,0,0,130866.56,0
2423,46390817,Mason,648,Spain,Male,34,2,0.0,3,1,1,41700.5,0
2424,85432781,Callahan,592,France,Male,33,1,83470.91,1,1,1,16132.14,0
2425,46456416,Clark,602,Spain,Male,89,10,82464.37,1,1,0,31646.99,0
2426,28424464,Orr,754,Germany,Male,37,8,54059.75,2,1,1,120551.82,0
2427,24660143,Warren,722,France,Female,20,9,36758.48,3,1,1,75185.42,0
2428,92634772,Palmer,505,Germany,Female,20,4,78092.38,2,1,1,24891.0,0
2429,88763056,Thompson,528,Germany,Female,35,1,0.0,2,1,0,129044.01,0
2430,42115895,Hernandez,534,Spain,Male,65,6,0.0,2,1,1,147288.85,0
2431,42542167,Rios,752,Spain,Male,52,7,22306.93,3,0,0,94304.34,0
2432,16813620,Hart,482,Germany,Female,72,2,31510.59,1,1,1,64450.98,1
2433,99903592,Stevens,726,Germany,Male,35,5,35378.68,2,1,0,84926.58,0
2434,81275182,Trevino,688,France,Female,35,4,106103.05,2,1,0,164372.65,0
2435,40289135,Taylor,664,Germany,Female,48,2,96630.3,3,1,1,157908.85,0
2436,95623471,Glover,604,Spain,Male,77,8,82879.27,1,1,0,84703.41,0
2437,41250794,Barrett,765,Germany,Male,55,5,0.0,3,1,0,105398.86,1
2438,17045237,Mclean,661,Germany,Male,75,10,265626.35,2,1,0,356884.51,0
2439,23448342,Jones,509,France,Male,25,0,107461.74,1,0,0,218166.67,0
2440,65472370,Franco,532,Spain,Male,48,10,132299.87,4,1,0,100296.03,1
2441,54331259,Webb,490,Spain,Female,50,7,93380.83,1,1,0,179241.14,0
2442,73404979,Estes,766,France,Female,23,7,116172.14,3,1,0,119641.66,1
2443,23494908,Obrien,788,France,Male,41,3,24709.46,2,0,1,182273.11,0
2444,28450513,White,755,Germany,Male,39,0,91685.45,2,1,0,57092.44,0
2445,10695441,Erickson,636,France,Male,52,2,55069.21,3,1,1,140044.83,0
2446,83867070,Hunter,511,Germany,Male,30,4,37275.5,3,1,1,156162.5,0
2447,31198492,Hopkins,547,France,Female,38,3,160745.76,3,0,1,96793.16,0
2448,64614193,Green,554,France,Female,89,2,91832.25,1,1,1,73740.19,1
2449,97629787,Wolfe,645,Germany,Female,28,0,51779.11,2,0,1,110980.56,0
2450,73847325,Chapman,784,Germany,Male,79,7,111305.35,2,1,1,20836.85,1
2451,74082055,Carpenter,784,Germany,Male,58,7,97893.32,1,1,0,75686.49,0
2452,97313825,Silva,602,Germany,Female,23,1,8019.54,1,0,0,66764.55,0
2453,36770527,Gallegos,433,Germany,Female,48,8,0.0,2,1,0,146856.06,0
2454,48553376,Jones,536,Spain,Female,56,10,0.0,2,1,0,127508.87,0
2455,53106399,Johnson,765,Germany,Male,38,10,206250.4,1,1,0,134963.15,0
2456,48307798,Quinn,672,Germany,Female,38,2,71068.48,3,1,1,165286.62,0
2457,96690951,Hall,615,Germany,Male,71,4,0.0,1,1,1,34500.7,0
2458,17940667,Ortega,608,France,Male,20,0,50902.92,3,1,0,190401.56,0
2459,22007214,Porter,577,France,Female,87,0,220240.69,1,0,1,150367.07,0
2460,97550053,Shelton,533,Germany,Male,42,9,39110.55,3,0,1,19902.01,1
2461,87058874,Morris,850,Spain,Female,46,10,0.0,1,1,0,142567.82,0
2462,41168067,Hall,816,Germany,Male,27,2,0.0,1,0,1,130605.1,0
2463,81826922,Ingram,570,France,Male,84,5,168366.45,1,1,0,121714.0,1
2464,15006085,Stark,479,Germany,Male,34,0,0.0,2,0,0,45269.79,0
2465,33496796,Flynn,666,France,Female,78,8,0.0,1,0,1,97650.82,0
2466,66087572,Garcia,635,Germany,Female,42,6,55153.09,2,1,1,136215.11,1
2467,33593960,Gilmore,710,Spain,Male,20,3,207832.48,2,1,0,100763.73,1
2468,14877451,Chandler,732,Germany,Male,48,10,82143.62,2,0,1,23267.75,0
2469,63283709,Cruz,536,Germany,Male,57,1,126463.83,1,0,1,78040.1,1
2470,76489301,Mcpherson,774,France,Male,53,2,9638.39,1,1,0,118887.54,0
2471,35006323,Nielsen,615,France,Female,92,8,60754.37,2,1,0,88265.01,0
2472,48851599,Brown,708,Spain,Male,57,4,32061.01,2,0,0,205933.05,0
2473,15028625,King,624,Germany,Male,76,7,133411.54,1,1,0,141629.19,0
2474,11243818,Johnson,739,Germany,Male,45,2,0.0,2,1,0,139412.56,1
2475,50049524,Brady,420,France,Female,28,7,151863.6,1,1,0,109184.98,1
2476,86230551,Alexander,721,France,Female,55,6,8712.72,1,0,0,73980.47,0
2477,90904160,Brooks,569,France,Female,59,0,110017.48,3,1,1,195813.89,1
2478,24401654,Welch,657,France,Female,49,3,77251.4,1,1,0,78084.59,1
2479,54968591,Johnson,770,France,Female,75,3,75570.61,1,0,0,103410.21,1
2480,48193218,Thompson,572,Spain,Male,90,6,104718.12,1,1,1,94611.67,0
2481,70981700,Rodriguez,556,Germany,Female,24,4,156104.59,1,1,1,20644.68,0
2482,96075494,Cole,613,France,Female,23,5,173386.15,3,0,0,124739.11,0
2483,82920556,Anderson,607,France,Male,38,1,73808.4,2,1,1,155100.17,0
2484,80372842,Walsh,548,France,Female,61,10,127432.3,3,1,0,66878.9,1
2485,76291802,Hawkins,660,Spain,Female,21,8,109813.18,2,0,0,82718.0,0
2486,28012011,Gonzalez,665,France,Female,32,7,28871.63,1,1,1,52794.8,0
2487,77674279,Henry,694,Spain,Male,48,3,20406.85,2,1,1,201886.82,0
2488,72816684,Shelton,570,Spain,Male,46,7,73031.82,1,0,0,124275.85,1
2489,46619573,Perez,558,France,Female,81,2,61382.9,1,1,0,174689.0,1
2490,35878707,Harmon,638,Germany,Male,58,5,81469.18,1,0,0,76140.08,1
2491,25119192,Hamilton,626,Spain,Male,83,2,50100.45,1,0,1,131400.67,1
2492,54383668,Rice,628,France,Male,74,3,89172.82,1,0,1,10541.68,0
2493,31809610,Tyler,581,France,Male,49,7,9883.64,1,0,1,65542.74,0
2494,71594457,Miller,682,Spain,Female,91,3,170458.88,2,1,1,215597.88,0
2495,97011385,Johnson,558,Spain,Female,81,8,0.0,2,1,0,123143.46,0
2496,44529507,Moyer,638,Germany,Female,55,5,70975.71,1,0,1,81150.1,0
2497,34991216,Davis,620,Germany,Male,81,10,0.0,2,0,1,4981.32,0
2498,11890348,Johnson,646,France,Male,37,2,67601.75,1,1,1,110293.11,0
2499,55246430,Taylor,764,Spain,Male,33,10,0.0,1,1,0,75979.45,0
2500,49597485,Smith,522,France,Male,77,1,17685.76,2,1,1,148297.67,1
2501,86206305,Schroeder,418,France,Female,77,6,90901.73,1,0,0,17148.13,1
2502,35925669,Carroll,592,Germany,Male,34,4,63296.94,1,1,0,150713.25,1
2503,33554528,Lin,538,Spain,Male,74,8,99838.39,1,1,0,74139.32,0
2504,92000924,Peterson,357,Spain,Female,56,1,26298.43,2,1,0,40891.61,0
2505,95728324,Fleming,819,France,Female,59,2,182427.74,2,1,1,110518.27,0
2506,64423996,Rosario,704,France,Male,81,2,71049.18,2,0,0,203574.34,1
2507,67405358,Chandler,714,Spain,Female,30,10,0.0,1,1,1,141165.57,0
2508,79159799,Rice,622,Spain,Male,48,5,87704.3,1,0,0,117630.95,0
2509,54013571,Lee,690,Germany,Female,39,1,46740.96,1,1,0,69348.52,0
2510,21641746,Clark,609,Germany,Female,59,8,5740.59,3,1,0,180771.82,1
2511,63798927,Carey,728,France,Male,29,3,152385.54,2,0,0,119811.48,0
2512,99826000,Mason,668,France,Male,26,2,133642.31,1,1,1,12551.2,0
2513,22802372,Kelly,646,France,Male,70,5,97189.66,1,1,0,143394.73,0
2514,34800912,Yoder,653,France,Female,22,8,80774.86,1,1,0,113636.86,0
2515,28872606,Castaneda,792,France,Male,49,9,107300.85,3,1,1,92987.83,0
2516,74082804,Solis,666,Spain,Female,91,0,0.0,4,0,1,170635.92,1
2517,53433080,Gonzales,550,France,Male,92,9,87884.42,1,1,1,57740.82,0
2518,43292316,Garrett,682,France,Male,31,10,152730.73,1,0,1,69719.3,0
2519,10916723,Sawyer,697,Germany,Male,87,3,0.0,1,1,1,89605.94,0
2520,45002007,Carroll,635,France,Male,43,5,10863.4,1,1,1,123191.77,0
2521,61482483,Martinez,644,France,Male,32,4,0.0,1,0,0,64880.11,0
2522,41611127,Holmes,546,Germany,Female,55,5,6386.82,2,1,0,42883.01,0
2523,69959826,Garcia,659,France,Female,54,7,85737.22,2,1,0,87990.52,0
2524,45835371,Jimenez,532,Germany,Male,46,7,29364.08,1,1,0,70804.63,0
2525,54241559,Williams,625,Spain,Female,50,5,22059.5,2,1,1,193459.3,1
2526,50526484,Fernandez,585,France,Male,25,5,0.0,1,1,1,17858.8,0
2527,88176558,Johnson,745,Spain,Female,37,5,31003.24,2,0,1,149591.39,0
2528,86890296,Nicholson,800,Spain,Male,32,4,26729.58,1,0,1,17407.79,0
2529,11534878,Roberts,539,Spain,Female,87,1,97801.49,1,0,1,94484.07,1
2530,45105069,Clayton,649,Germany,Male,55,4,15852.84,2,1,0,37253.24,0
2531,97735896,Myers,619,Germany,Male,58,7,56035.29,3,0,1,10465.0,0
2532,58258264,Howard,695,Germany,Female,50,10,19296.4,1,1,0,174204.58,1
2533,41715995,Brennan,659,Germany,Male,84,8,8011.36,2,1,1,140320.23,0
2534,18338186,Moore,612,France,Male,77,9,148583.75,1,1,1,102311.49,0
2535,99628735,Roberts,659,Spain,Male,69,8,50186.17,2,1,1,106202.69,0
2536,25867870,Ferguson,629,Germany,Female,41,5,31531.1,1,0,0,55189.88,0
2537,72464258,Allen,804,Spain,Male,41,7,128758.51,2,1,1,72488.39,0
2538,51178850,Holmes,573,France,Male,88,9,176191.58,1,0,0,59448.54,1
2539,31436829,Carr,674,France,Female,87,2,91601.11,1,1,1,68806.41,0
2540,64414096,Collins,699,Germany,Female,39,1,139284.66,1,1,0,86659.54,1
2541,77447155,Montgomery,692,Germany,Male,43,2,41799.35,2,0,0,174601.73,0
2542,51738753,Gardner,621,France,Female,42,5,0.0,1,0,0,132563.29,0
2543,25759274,Snow,782,France,Male,76,8,76454.28,3,1,0,116473.51,1
2544,95726382,Aguilar,447,France,Female,89,4,96078.52,2,1,0,42170.59,0
2545,49599276,Giles,543,Germany,Male,84,10,135807.36,1,1,0,124241.57,0
2546,59330907,Mercer,714,France,Female,81,3,15110.66,1,1,0,43177.95,0
2547,92493631,Delgado,564,Spain,Female,44,5,20812.37,1,1,0,59252.16,1
2548,39641883,Johnson,558,France,Male,41,10,45912.8,2,1,0,28418.76,0
2549,39410942,Fisher,604,France,Male,84,1,15850.17,2,1,0,77528.96,0
2550,27927298,Gonzalez,573,France,Male,47,9,0.0,1,1,1,82347.94,0
2551,74180488,Barron,711,Germany,Male,34,1,0.0,1,0,1,73970.8,0
2552,30560218,Brown,737,France,Male,81,9,79633.69,1,1,0,97658.42,0
2553,71066203,Harris,658,Germany,Female,53,3,51033.07,1,1,0,107239.02,1
2554,91300905,Montoya,752,Spain,Male,24,6,0.0,1,1,1,175025.67,0
2555,60147077,Rivera,515,France,Female,85,7,89430.36,2,0,1,52522.98,1
2556,65813853,Todd,657,Germany,Male,40,4,0.0,4,1,1,51175.88,0
2557,83717007,Gaines,780,France,Male,41,6,0.0,2,1,0,92516.16,0
2558,73193474,Brown,744,France,Male,57,8,122148.57,1,0,0,115969.06,1
2559,82144402,Snyder,789,France,Female,38,9,0.0,3,1,1,100830.01,0
2560,99133246,Shaffer,592,France,Male,80,1,22419.88,1,1,1,202792.62,0
2561,39314711,Elliott,738,Germany,Male,69,5,185296.14,1,0,1,146934.47,0
2562,43214247,Bishop,608,Germany,Male,60,9,104642.06,2,1,0,176957.18,1
2563,89968863,Conley,707,Germany,Female,33,6,4575.16,1,1,0,124446.48,0
2564,20988446,Aguirre,777,Germany,Female,54,0,36584.34,1,1,0,103445.65,1
2565,80532309,Reed,572,Germany,Male,38,1,118706.35,2,0,0,45667.52,0
2566,69961498,Jones,469,France,Male,90,9,0.0,1,1,0,101288.15,0
2567,80890196,Butler,829,France,Male,77,4,104023.76,1,1,1,79795.58,0
2568,58557943,Stevenson,697,France,Male,26,7,113986.37,2,1,1,81286.2,0
2569,20482769,Noble,639,Germany,Female,57,9,115547.83,4,0,0,154562.41,1
2570,85721444,Clay,634,Spain,Male,76,0,76294.91,1,1,1,22507.77,0
2571,25060409,Mendoza,446,France,Female,57,5,28251.69,1,1,0,160094.3,0
2572,18289024,Anderson,670,Germany,Female,27,1,32669.45,1,1,0,133921.54,0
2573,83504237,Cummings,598,Spain,Female,28,9,125263.26,1,1,0,110541.44,0
2574,77845324,Garcia,655,Spain,Male,72,4,112335.14,2,1,1,144058.39,0
2575,37133023,Crawford,652,Germany,Female,57,9,63870.82,3,1,1,4720.45,1
2576,86866717,Perez,322,Germany,Male,58,3,0.0,2,1,0,119097.07,0
2577,82029307,Bell,697,Germany,Male,38,1,0.0,3,1,1,12533.16,0
2578,30112846,Woods,668,Spain,Female,37,9,54725.94,1,1,0,117268.81,0
2579,32083803,Harrington,681,France,Male,48,6,71069.36,2,0,0,28422.9,0
2580,54039203,Walter,632,Spain,Male,58,2,0.0,4,1,1,51314.4,0
2581,79839059,Perez,654,France,Male,53,7,27813.14,1,1,1,70810.23,0
2582,69302835,Velazquez,666,Spain,Male,83,4,125603.38,1,1,1,80429.85,1
2583,25601471,Johnson,676,France,Female,32,0,0.0,2,1,0,107387.2,0
2584,37568520,Casey,696,France,Female,53,2,106230.01,2,1,0,136815.9,1
2585,88268756,Gonzalez,677,France,Female,35,8,79935.61,2,0,0,233226.91,0
2586,75609379,Franklin,829,France,Male,18,1,0.0,2,0,0,57712.06,0
2587,22205980,Gray,579,France,Male,49,3,109660.36,1,1,1,103428.0,0
2588,78501420,Sutton,613,France,Male,22,2,101270.9,4,1,0,90974.03,0
2589,69791674,Smith,814,France,Male,45,8,99019.56,2,1,1,35230.91,0
2590,17467311,Olson,635,France,Female,65,9,205206.73,1,1,0,16204.43,1
2591,70858653,Hughes,740,Spain,Female,46,8,73263.79,1,1,1,41470.76,1
2592,27709269,Bennett,663,Spain,Female,68,7,86162.3,2,1,1,63783.72,0
2593,78886959,Martinez,627,Germany,Female,40,0,82497.67,1,0,0,73877.07,0
2594,65757342,Miles,745,France,Male,48,10,45891.34,1,1,0,14104.45,1
2595,71310453,Dunn,700,France,Female,83,1,81766.83,2,1,1,78259.07,1
2596,85686878,Wilson,501,Spain,Female,36,4,139008.99,4,1,0,85467.71,0
2597,17749299,Wilson,666,France,Female,55,9,0.0,1,1,0,44183.85,0
2598,85000490,Gilbert,553,France,Male,71,2,169686.15,2,1,1,138607.79,1
2599,72059365,Berger,773,Spain,Female,45,2,124704.84,4,1,0,1953.64,0
2600,51361818,Bell,820,Spain,Male,40,0,107126.38,1,0,1,111423.61,0
2601,12921981,Cooper,831,France,Female,70,3,0.0,1,1,1,82516.53,0
2602,63143336,Hull,684,Germany,Female,23,5,98615.06,1,0,0,100491.82,1
2603,44152669,Allen,605,France,Female,37,5,0.0,1,1,1,119300.8,0
2604,10404729,Davis,681,Spain,Male,48,0,68031.34,1,1,0,112363.63,0
2605,39246218,Smith,558,France,Male,34,2,0.0,1,1,0,15938.28,0
2606,87619624,Gutierrez,850,France,Female,58,0,174894.06,1,1,1,81052.62,0
2607,19801857,Goodwin,765,Germany,Female,64,2,63706.76,2,1,1,122240.32,0
2608,16078694,Morton,679,France,Female,90,6,0.0,1,0,0,124157.44,0
2609,66867700,Herrera,746,Germany,Male,63,0,53288.15,1,1,1,50200.34,1
2610,56241881,Williams,602,France,Female,62,1,0.0,2,1,1,34023.35,1
2611,18557710,Pham,542,Spain,Female,72,5,80454.41,2,1,0,128205.4,1
2612,82633735,Marks,435,Spain,Male,33,6,91931.63,2,1,0,123541.42,0
2613,18087373,Wright,658,France,Male,53,9,205343.97,1,1,1,34175.24,0
2614,19263592,Brown,629,Spain,Female,80,6,127796.79,1,0,1,22423.03,1
2615,73360324,Brown,700,France,Male,31,10,58132.78,2,1,1,72295.44,0
2616,14259382,Gonzales,651,France,Female,39,7,0.0,3,1,0,50370.74,0
2617,48532662,Campbell,695,France,Female,34,6,115618.98,2,0,1,101674.21,0
2618,64877191,Edwards,728,Spain,Male,89,4,33949.97,1,1,0,171174.89,1
2619,34156684,Morrison,508,Spain,Male,44,1,116914.79,1,1,1,22910.94,0
2620,28176954,Zamora,734,Spain,Female,42,7,73010.84,2,1,0,85931.65,0
2621,96104027,Bolton,610,Spain,Female,79,10,101343.61,4,0,1,49487.01,0
2622,96688655,Anderson,700,Spain,Female,86,4,131542.77,2,1,0,136393.87,1
2623,66420024,Sanders,749,France,Female,18,3,31213.97,1,0,1,140081.04,0
2624,60259293,Sandoval,749,Spain,Female,83,1,83980.88,1,0,1,41485.63,1
2625,61335545,Douglas,662,Germany,Female,71,6,74872.28,1,1,0,155411.28,0
2626,70201634,Jones,667,France,Female,82,3,93851.39,2,1,0,140275.91,0
2627,60666702,Mays,736,Germany,Male,24,0,107272.28,1,1,1,83171.91,0
2628,60418290,Harris,504,France,Male,20,0,85424.04,1,1,0,135152.93,0
2629,20770971,Thornton,557,France,Male,43,3,0.0,1,1,1,14672.36,0
2630,98824290,Li,622,France,Female,81,5,5976.98,3,0,0,201266.62,1
2631,82383656,Hurst,520,France,Male,55,5,22437.75,1,0,0,95681.77,0
2632,27849589,Trevino,623,France,Female,72,8,0.0,1,1,0,164240.88,0
2633,97715861,Wallace,618,Spain,Female,36,5,108656.25,1,0,0,58298.75,0
2634,56676884,Turner,658,Germany,Male,43,8,54795.03,2,1,1,2223.43,0
2635,25922674,Richardson,644,Germany,Male,83,3,127505.94,1,1,1,119071.26,1
2636,33954324,Arnold,753,France,Female,54,2,0.0,2,0,0,50118.74,0
2637,82109613,Melton,705,France,Male,76,5,0.0,2,0,0,56298.0,1
2638,62755436,Sanchez,643,France,Female,65,1,13170.13,1,0,0,105956.59,0
2639,80980044,Orozco,617,Spain,Male,31,8,0.0,3,1,1,139899.52,0
2640,27092236,Flores,645,France,Male,88,2,0.0,1,1,0,112628.86,0
2641,39888974,Weaver,647,Germany,Female,88,10,0.0,2,1,1,152466.59,1
2642,10466177,Garcia,850,Spain,Male,76,10,64201.09,2,0,1,80783.27,0
2643,13051483,Reed,508,Germany,Male,53,5,0.0,1,1,1,169812.87,1
2644,50045602,Jenkins,560,Spain,Male,50,3,0.0,1,0,0,139153.85,0
2645,72143331,Sampson,545,France,Male,40,3,17882.48,2,1,1,30323.18,0
2646,83074216,Tucker,676,Spain,Female,66,4,95681.96,1,0,1,128457.93,0
2647,66925500,Miller,672,Germany,Male,41,5,87800.59,2,1,0,93689.84,0
2648,81394920,Barr,594,Spain,Male,31,0,0.0,2,1,1,46709.93,0
2649,60905625,Skinner,736,Germany,Male,22,2,0.0,2,1,0,124814.59,0
2650,40824989,Meyer,685,Spain,Male,49,8,95573.92,1,0,0,116150.18,0
2651,43220503,Torres,740,Spain,Male,79,0,59984.7,1,1,0,129921.18,0
2652,71824078,Tran,766,France,Female,77,4,102348.25,2,1,0,29231.2,0
2653,56460773,Martinez,443,Spain,Male,81,9,151726.19,2,1,1,33139.9,0
2654,30820038,Hardy,716,Germany,Female,63,0,167592.37,1,1,1,72159.61,0
2655,46997080,French,524,France,Male,83,10,152271.08,1,1,0,75766.53,0
2656,35297417,Johnson,674,Spain,Male,76,5,14603.9,3,0,0,118786.63,0
2657,25145751,Young,642,France,Male,78,4,0.0,1,1,0,62421.61,1
2658,14324134,Alexander,647,Germany,Female,56,7,138394.12,2,1,1,127675.02,0
2659,98610233,Duran,533,France,Female,24,8,113499.26,2,1,0,138267.56,0
2660,66269520,Benton,749,France,Male,46,5,0.0,1,0,0,141906.13,0
2661,92533595,Smith,524,Spain,Female,81,0,19179.52,1,1,1,139398.62,1
2662,12099943,Huff,722,France,Male,73,10,166220.83,2,1,1,29240.31,0
2663,42301683,Nelson,511,France,Female,18,0,22838.17,2,0,1,41899.24,0
2664,37659807,Chapman,648,France,Female,25,9,57060.91,3,0,1,80266.3,0
2665,19031632,Evans,825,France,Male,67,4,58002.55,1,1,1,82947.9,0
2666,23542127,Hanna,850,Spain,Male,91,5,101486.79,1,1,0,37750.63,1
2667,89717834,Brown,492,Spain,Male,72,8,113301.38,1,1,1,101952.87,1
2668,14506531,Bond,581,France,Female,89,10,216059.59,1,0,1,118479.09,0
2669,69920305,Cruz,599,Germany,Male,22,1,0.0,1,0,0,111828.59,0
2670,90233330,Smith,850,France,Female,84,8,44972.84,3,1,1,101126.97,0
2671,16533225,Reyes,643,Germany,Male,27,7,18408.2,1,0,0,115651.2,1
2672,42847661,Wallace,754,France,Female,84,4,179957.57,1,0,0,79389.32,0
2673,15937353,Walker,679,France,Male,91,4,76799.01,1,0,0,124252.83,0
2674,63991141,Gray,533,France,Female,56,8,138767.26,3,1,0,117444.68,1
2675,68916591,Keller,469,Germany,Male,57,1,41102.87,1,0,0,49410.85,0
2676,41452485,Patel,590,Germany,Male,55,5,44912.08,2,1,1,199511.68,0
2677,82445335,Guerrero,850,France,Male,59,7,0.0,2,1,1,181425.78,0
2678,39161379,Johnson,674,Spain,Female,79,5,55493.63,2,1,0,134316.14,0
2679,17575790,Hines,752,Germany,Male,39,4,0.0,1,1,1,159658.03,0
2680,28808678,Pineda,512,France,Female,39,5,129787.18,2,0,0,112893.93,1
2681,77631755,Kent,618,Spain,Female,90,5,110785.39,1,1,1,75676.9,1
2682,48824283,Webster,725,Spain,Male,81,8,0.0,1,1,1,159531.86,1
2683,41428626,Rogers,544,France,Male,58,9,0.0,3,1,0,112205.5,0
2684,87324220,Clayton,643,Germany,Male,33,10,91035.82,2,1,1,136721.16,0
2685,52802529,Baker,564,France,Male,89,0,0.0,1,0,0,184175.13,1
2686,87507357,Mullins,730,Germany,Male,83,3,32903.9,2,1,1,8247.45,0
2687,90251151,Robinson,688,France,Female,42,9,101399.13,2,1,0,122910.9,0
2688,53038943,Johnson,716,Germany,Male,58,7,0.0,3,1,0,45414.6,0
2689,41796721,Swanson,734,France,Male,49,4,179117.69,2,1,0,87445.17,0
2690,50502136,Howell,627,Germany,Female,81,6,27054.72,1,1,0,53185.07,0
2691,29228089,Glenn,747,Spain,Male,69,5,54931.33,1,0,1,163625.89,1
2692,98612211,Patton,592,France,Female,54,9,0.0,1,0,0,123817.35,0
2693,79961132,Mcfarland,710,Spain,Female,90,6,96979.31,1,1,0,100634.86,0
2694,39667854,Goodwin,458,Spain,Male,63,4,0.0,2,1,0,8967.54,0
2695,65507111,Aguirre,577,Spain,Male,54,6,75497.21,2,0,1,66880.02,0
2696,50332555,Tran,850,France,Female,87,2,3525.16,1,0,1,70253.65,0
